time,open,high,low,close,tick_volume,spread,real_volume
2025-11-17,4084.61,4106.72,4006.95,4045.66,289596,7,0
2025-11-18,4048.02,4082.37,3998.08,4067.37,294401,7,0
2025-11-19,4066.79,4132.82,4055.67,4077.93,291897,7,0
2025-11-20,4076.7,4110.26,4038.98,4077.08,324803,7,0
2025-11-21,4074.71,4101.06,4022.55,4065.01,325254,7,0
2025-11-24,4069.15,4140.03,4040.09,4133.95,244807,7,0
2025-11-25,4133.01,4159.33,4109.69,4130.37,270391,7,0
2025-11-26,4134.61,4173.44,4129.83,4163.93,223336,7,0
2025-11-27,4163.32,4168.75,4142.71,4157.35,151937,7,0
2025-11-28,4155.55,4226.63,4155.55,4219.05,143235,7,0
2025-12-01,4220.13,4264.55,4205.52,4232.08,401249,7,0
2025-12-02,4231.53,4236.03,4163.76,4205.72,341013,7,0
2025-12-03,4206.69,4241.67,4194.56,4202.82,351692,7,0
2025-12-04,4220.28,4220.28,4175.21,4208.65,369392,7,0
2025-12-05,4207.48,4259.35,4192.05,4199.12,358485,7,0
2025-12-08,4196.01,4219.0,4176.39,4190.65,393248,7,0
2025-12-09,4190.17,4221.3,4170.13,4208.47,406649,7,0
2025-12-10,4207.45,4238.79,4181.87,4228.58,405127,7,0
2025-12-11,4228.2,4285.9,4204.26,4280.08,410970,7,0
2025-12-12,4280.53,4353.58,4257.75,4300.11,438582,7,0
2025-12-15,4299.18,4350.34,4285.46,4305.45,418490,7,0
2025-12-16,4304.33,4335.06,4271.64,4302.32,429398,7,0
2025-12-17,4302.56,4349.0,4301.56,4338.57,432935,7,0
2025-12-18,4337.5,4374.63,4308.69,4332.41,426949,7,0
2025-12-19,4334.29,4356.52,4309.35,4338.53,367647,7,0
2025-12-22,4339.16,4449.27,4338.12,4443.76,361661,7,0
2025-12-23,4447.71,4499.87,4430.53,4485.16,406711,8,0
2025-12-24,4485.59,4525.83,4448.43,4479.57,376680,8,0
2025-12-26,4499.57,4549.92,4483.63,4531.13,449676,8,0
2025-12-29,4536.54,4549.84,4302.99,4331.66,503499,8,0
2025-12-30,4332.49,4404.35,4323.51,4338.7,466108,8,0
2025-12-31,4339.97,4373.28,4274.48,4318.73,459307,8,0
2026-01-02,4326.7,4402.32,4310.01,4332.94,415754,8,0
2026-01-05,4361.3,4455.81,4345.75,4449.02,458331,8,0
2026-01-06,4448.18,4497.37,4428.08,4494.62,431556,8,0
2026-01-07,4495.58,4500.52,4423.53,4455.76,446003,8,0
